,SPENDMONEY,SPENDTIMES
0,9354,193
1,500,10
2,1409,29
3,5627,115
4,3154,68
5,300,6
6,5145,107
7,1650,33
8,968,21
9,1318,28
10,18285,378
11,800,16
12,2177,46
13,12949,268
14,1200,24
15,759,16
16,300,6
17,5268,107
18,450,9
19,3695,78
20,1200,24
21,559,12
22,14753,309
23,300,6
24,41075,842
25,4400,88
26,450,9
27,28912,593
28,11104,227
29,11554,236
30,9804,201
31,1200,24
32,909,19
33,1327,29
34,350,7
35,11812,251
36,15908,328
37,850,17
38,200,4
39,959,20
40,24530,507
41,17103,356
42,31394,641
43,5340,115
44,5368,109
45,500,10
46,650,13
47,3586,75
48,32570,676
49,8345,171
50,1963,45
51,23102,485
52,909,19
53,12872,264
54,150,3
55,250,5
56,500,10
57,14758,305
58,800,16
59,22616,472
60,28790,584
61,13435,281
62,450,9
63,6922,145
64,2859,58
65,5095,106
66,150,3
67,800,16
68,350,7
69,18853,391
70,2486,53
71,350,7
72,6995,144
73,750,15
74,3836,80
75,13235,277
76,300,6
77,1409,29
78,2850,57
79,1827,39
80,13330,283
81,759,16
82,9681,201
83,1150,23
84,13334,288
85,2959,60
86,300,6
87,2654,58
88,1259,26
89,450,9
90,2295,50
91,7104,147
92,200,4
93,19230,401
94,668,15
95,1209,25
96,4081,89
97,759,16
98,18454,374
99,17449,358
100,17967,370
101,709,15
102,1450,29
103,47052,964
104,49201,1016
105,1400,28
106,1927,41
107,1350,27
108,13940,287
109,4713,100
110,6240,133
111,10972,226
112,1327,29
113,727,17
114,1050,21
115,718,16
116,550,11
117,8513,176
118,300,6
119,1950,39
120,17080,358
121,300,6
122,8754,180
123,750,15
124,818,18
125,4704,99
126,700,14
127,12604,257
128,38848,795
129,6927,141
130,2250,45
131,859,18
132,4222,91
133,927,21
134,19512,405
135,250,5
136,5945,123
137,3045,65
138,400,8
139,1927,41
140,2654,58
141,550,11
142,900,18
143,2572,58
144,9572,198
145,8181,171
146,22980,476
147,2677,56
148,4477,92
149,768,17
150,868,19
151,400,8
152,859,18
153,659,14
154,250,5
155,709,15
156,11504,235
157,20172,410
158,2586,55
159,1409,29
160,13003,274
161,600,12
162,5986,123
163,2109,43
164,30380,624
165,7335,159
166,500,10
167,3050,61
168,9372,194
169,9567,202
170,150,3
171,5049,110
172,11449,238
173,200,4
174,850,17
175,11231,232
176,900,18
177,4022,87
178,900,18
179,8140,171
180,7245,149
181,250,5
182,29766,615
183,700,14
184,900,18
185,1050,21
186,759,16
187,559,12
188,550,11
189,1000,20
190,450,9
191,850,17
192,2768,57
193,300,6
194,950,19
195,18180,380
196,3286,69
197,1459,30
198,2177,46
199,1686,37
200,25190,512
201,3413,74
202,800,16
203,750,15
204,6140,131
205,400,8
206,2068,43
207,400,8
208,1250,25
209,3218,66
210,15035,313
211,1050,21
212,600,12
213,4581,99
214,550,11
215,2986,63
216,550,11
217,950,19
218,3204,69
219,977,22
220,2027,43
221,9131,190
222,1000,20
223,759,16
224,500,10
225,800,16
226,27699,563
227,659,14
228,500,10
229,4572,98
230,1300,26
231,2527,53
232,200,4
233,9144,196
234,9472,196
235,9945,203
236,559,12
237,500,10
238,200,4
239,718,16
240,2636,56
241,5654,118
242,17571,367
243,6268,127
244,509,11
245,2995,64
246,4127,85
247,1009,21
248,518,12
249,5804,121
250,1050,21
251,250,5
252,1609,33
253,509,11
254,768,17
255,1018,22
256,3963,85
257,12513,256
258,1050,21
259,300,6
260,300,6
261,650,13
262,7245,149
263,809,17
264,927,21
265,250,5
266,200,4
267,10486,213
268,1200,24
269,5963,125
270,709,15
271,1718,36
272,34593,714
273,1118,24
274,13590,280
275,5895,122
276,1550,31
277,2986,63
278,18921,394
279,40279,831
280,1000,20
281,150,3
282,10867,228
283,1159,24
284,350,7
285,459,10
286,4836,100
287,26081,529
288,150,3
289,1659,34
290,350,7
291,1627,35
292,4459,90
293,950,19
294,5318,108
295,2427,51
296,11785,248
297,2186,47
