,SPENDMONEY,SPENDTIMES
0,1600,33
1,400,8
2,100,2
3,800,16
4,200,4
5,100,2
6,100,2
7,1050,21
8,350,7
9,300,6
10,350,7
11,500,10
12,300,6
13,1900,38
14,400,8
15,1400,28
16,2100,42
17,150,3
18,450,9
19,400,8
20,150,3
21,200,4
22,700,14
23,100,2
24,450,9
25,550,11
26,350,7
27,200,4
28,700,14
29,200,4
30,300,6
31,800,16
32,400,8
33,200,4
34,1250,25
35,700,14
36,150,3
37,300,6
38,450,9
39,350,7
40,300,6
41,900,18
42,1000,20
43,1550,31
44,650,13
45,100,2
46,350,7
47,950,19
48,1850,37
49,3150,63
50,550,11
51,1250,25
52,800,16
53,1950,39
54,800,16
55,650,13
56,2100,42
57,1250,25
58,700,14
59,750,15
60,500,10
61,600,12
62,600,12
63,2600,52
64,100,2
65,650,13
66,250,5
67,2250,45
68,250,5
69,1300,26
70,1100,22
71,300,6
72,1850,37
73,350,7
74,1050,21
75,150,3
76,400,8
77,300,6
78,150,3
79,1550,31
80,1400,28
81,100,2
82,900,18
83,400,8
84,450,9
85,400,8
86,250,5
87,200,4
88,750,15
89,400,8
90,500,10
91,250,5
92,1500,30
93,150,3
94,750,15
95,250,5
96,900,18
97,2000,40
98,100,2
99,400,8
100,150,3
101,200,4
102,200,4
103,450,9
104,250,5
105,350,7
106,850,17
107,2250,45
108,250,5
109,550,11
110,2000,40
111,300,6
112,500,10
113,250,5
114,200,4
115,700,14
116,250,5
117,550,11
118,600,12
119,200,4
120,300,6
121,450,9
122,600,12
123,400,8
124,400,8
125,800,16
126,500,10
127,1250,25
128,1450,29
129,300,6
130,600,12
131,350,7
132,300,6
133,2000,40
134,350,7
135,250,5
136,1350,27
137,1150,23
138,550,11
139,350,7
140,1050,21
141,650,13
142,350,7
143,650,13
144,250,5
145,400,8
146,250,5
147,250,5
148,100,2
149,350,7
150,550,11
151,1900,38
152,1050,21
153,850,17
154,450,9
155,1350,27
156,200,4
157,100,2
158,1200,24
159,450,9
160,700,14
161,1050,21
162,400,8
163,250,5
164,350,7
165,300,6
166,100,2
167,800,16
168,250,5
169,150,3
170,150,3
171,1050,21
172,100,2
173,1500,30
174,600,12
175,500,10
176,1650,33
177,850,17
178,200,4
179,1950,39
180,1650,33
181,1150,23
182,1650,33
183,2450,49
184,1350,27
185,950,19
186,1100,22
187,200,4
188,250,5
189,450,9
190,2800,56
191,200,4
192,650,13
193,350,7
194,650,13
195,150,3
196,2900,58
197,400,8
198,750,15
199,500,10
200,200,4
201,550,11
202,1950,39
203,100,2
204,100,2
205,250,5
206,850,17
207,200,4
208,100,2
209,1050,21
210,550,11
211,1300,26
212,100,2
213,850,17
214,100,2
215,450,9
216,200,4
217,2450,49
218,150,3
219,200,4
220,700,14
221,1550,31
222,1800,36
223,600,12
224,1650,33
225,800,16
226,550,11
227,700,14
228,850,17
229,750,15
230,1400,28
231,100,2
232,300,6
233,2100,42
234,1050,21
235,950,19
236,1450,29
237,1400,28
238,1150,23
239,1050,21
240,2550,51
241,150,3
242,450,9
243,2650,53
244,400,8
245,100,2
246,150,3
247,2150,43
248,1650,33
249,1300,26
250,250,5
251,500,10
252,150,3
253,250,5
254,150,3
255,1150,23
256,800,16
257,100,2
258,900,18
259,400,8
260,1200,24
261,100,2
262,700,14
263,250,5
264,500,10
265,1700,34
266,350,7
267,750,15
268,200,4
269,750,15
270,150,3
271,150,3
272,250,5
273,1150,23
274,150,3
275,850,17
276,450,9
277,550,11
278,200,4
279,100,2
280,450,9
281,1150,23
282,250,5
283,4100,82
284,150,3
285,1950,39
286,450,9
287,550,11
288,1750,35
289,650,13
290,450,9
291,350,7
292,800,16
293,100,2
294,650,13
295,1600,32
296,1300,26
297,1750,35
298,1050,21
299,150,3
300,3550,71
301,300,6
302,200,4
303,150,3
304,450,9
305,2850,57
306,450,9
307,600,12
308,2050,41
309,400,8
310,250,5
311,200,4
312,250,5
313,400,8
314,700,14
315,750,15
316,250,5
317,1450,29
318,150,3
319,200,4
320,750,15
321,850,17
322,250,5
323,1500,30
324,100,2
325,400,8
326,200,4
327,400,8
328,450,9
329,400,8
330,500,10
331,2550,51
332,100,2
333,650,13
334,100,2
335,400,8
336,1300,26
337,200,4
338,1200,24
339,1500,30
340,150,3
341,1200,24
342,250,5
343,100,2
344,350,7
345,350,7
346,2000,40
347,750,15
348,450,9
349,700,14
350,950,19
351,1100,22
352,300,6
353,250,5
354,500,10
355,150,3
356,450,9
357,1050,21
358,200,4
359,200,4
360,400,8
361,1350,27
362,550,11
363,100,2
364,1250,25
365,2350,47
366,700,14
367,350,7
368,100,2
369,100,2
370,450,9
371,800,16
372,900,18
373,150,3
374,150,3
375,350,7
376,1050,21
377,200,4
378,400,8
379,150,3
380,400,8
381,150,3
382,200,4
383,100,2
384,100,2
385,150,3
386,200,4
387,150,3
388,450,9
389,900,18
390,300,6
391,1450,29
392,550,11
393,150,3
394,100,2
395,200,4
396,750,15
397,1000,20
398,200,4
399,250,5
400,550,11
401,400,8
402,200,4
403,350,7
404,100,2
405,650,13
406,100,2
407,150,3
408,250,5
409,150,3
410,100,2
411,600,12
412,100,2
413,900,18
414,1500,30
415,450,9
416,100,2
417,350,7
418,1000,20
419,200,4
420,400,8
421,950,19
422,250,5
423,550,11
424,750,15
425,3750,75
426,550,11
427,150,3
428,300,6
429,1000,20
430,750,15
431,1200,24
432,1150,23
433,400,8
434,2750,55
435,800,16
436,100,2
437,350,7
438,300,6
439,500,10
440,450,9
441,850,17
442,2150,43
443,200,4
444,650,13
445,1800,36
446,650,13
447,150,3
448,600,12
449,150,3
450,450,9
451,600,12
452,250,5
453,250,5
454,700,14
455,300,6
456,750,15
457,900,18
458,2250,45
459,5900,118
460,150,3
461,2200,44
462,700,14
463,1150,23
464,300,6
465,900,18
466,300,6
467,200,4
468,200,4
469,1500,30
470,250,5
471,350,7
472,400,8
473,1100,22
474,300,6
475,350,7
476,600,12
477,100,2
478,350,7
479,500,10
480,1300,26
481,100,2
482,150,3
483,400,8
484,750,15
485,150,3
486,100,2
487,600,12
488,800,16
489,4100,82
490,700,14
491,850,17
492,1050,21
493,950,19
494,1500,30
495,700,14
496,300,6
497,150,3
498,600,12
499,600,12
500,450,9
501,200,4
502,200,4
503,1700,34
504,250,5
505,700,14
506,900,18
507,150,3
508,350,7
509,1350,27
510,950,19
511,200,4
512,550,11
513,450,9
514,300,6
515,3000,60
516,200,4
517,900,18
518,350,7
519,100,2
520,150,3
521,250,5
522,700,14
523,200,4
524,1550,31
525,2350,47
526,300,6
527,250,5
528,850,17
529,750,15
530,550,11
531,150,3
532,900,18
533,2050,41
534,100,2
535,100,2
536,300,6
537,400,8
538,1050,21
539,800,16
540,350,7
541,450,9
542,650,13
543,950,19
544,550,11
545,350,7
546,400,8
547,700,14
548,650,13
549,150,3
550,1600,32
551,2050,41
552,300,6
553,800,16
554,2100,42
555,1900,38
556,300,6
557,350,7
558,350,7
559,250,5
560,400,8
561,2100,42
562,100,2
563,600,12
564,800,16
565,1500,30
566,900,18
567,800,16
568,500,10
569,450,9
570,1950,39
571,150,3
572,700,14
573,1400,28
574,1300,26
575,150,3
576,650,13
577,550,11
578,750,15
579,350,7
580,800,16
581,1400,28
582,300,6
583,750,15
584,950,19
585,600,12
586,1050,21
587,1600,32
588,900,18
589,150,3
590,1750,35
591,400,8
592,350,7
593,1350,27
594,1200,24
595,1300,26
